status_account,month_duration,credit_history,purpose,credit_amount,status_savings,years_employment,payment_to_income_ratio,gender,n_guarantors,residence_since,collateral,age,other_installment_plans,housing,n_credits,job,martial Status,telephone,is_foreign_worker,secondary_obligor,actual,predicted,prob_bad,correct
0 to < 200 DM,60,existing credits paid back duly till now,car (new),14027,< 100 DM,4 to < 7 years,4,male,1,2,savings agreement/life insurance,27,none,own,1,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,bad,bad,41.65123580058379,YES
0 to < 200 DM,12,existing credits paid back duly till now,radio/television,625,< 100 DM,< 1 year,4,male,1,1,none,26,bank,own,1,unskilled - resident,married/widowed,none,yes,guarantor,good,good,14.073024905070186,YES
0 to < 200 DM,6,existing credits paid back duly till now,car (new),14555,unknown/ no savings account,unemployed,1,male,1,2,car,23,none,own,1,unemployed/ unskilled - non-resident,single,"yes, registered under the customers name",yes,none,bad,bad,65.49046232174666,YES
no checking account,24,existing credits paid back duly till now,furniture/equipment,5511,100 to < 500 DM,1 to < 4 years,4,male,1,1,real estate,25,stores,own,1,skilled employee/ official,single,none,yes,none,good,good,14.07333538337204,YES
0 to < 200 DM,9,all credits at this bank paid back duly,car (used),5129,< 100 DM,>= 7 years,2,female,2,4,savings agreement/life insurance,74,bank,for free,1,management/ self-employed/highly qualified employee,divorced/separated/married,"yes, registered under the customers name",yes,none,bad,bad,65.50439191001585,YES
0 to < 200 DM,27,no credits taken/ all credits paid back duly,business,8318,< 100 DM,>= 7 years,2,female,1,4,savings agreement/life insurance,42,none,for free,2,management/ self-employed/highly qualified employee,divorced/separated/married,"yes, registered under the customers name",yes,none,bad,bad,65.51378739269991,YES
no checking account,15,existing credits paid back duly till now,education,4623,100 to < 500 DM,1 to < 4 years,3,male,1,2,car,40,none,own,1,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,bad,bad,65.49222980079325,YES
< 0 DM,24,existing credits paid back duly till now,car (used),2924,< 100 DM,1 to < 4 years,3,male,2,4,savings agreement/life insurance,63,bank,own,1,skilled employee/ official,single,"yes, registered under the customers name",yes,guarantor,good,good,14.072200754878853,YES
no checking account,18,critical account/ other credits existing (not at this bank),car (new),1028,< 100 DM,1 to < 4 years,4,female,1,3,none,36,none,own,2,skilled employee/ official,divorced/separated/married,none,yes,none,good,good,18.077991615338266,YES
no checking account,12,existing credits paid back duly till now,radio/television,2279,unknown/ no savings account,1 to < 4 years,4,male,1,4,savings agreement/life insurance,37,none,for free,1,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,14.068644108920287,YES
no checking account,9,existing credits paid back duly till now,car (new),2507,500 to < 1000 DM,>= 7 years,2,male,1,4,savings agreement/life insurance,51,none,for free,1,unskilled - resident,single,none,yes,none,good,good,10.244836448315557,YES
< 0 DM,12,critical account/ other credits existing (not at this bank),car (new),3499,< 100 DM,1 to < 4 years,3,female,1,2,none,29,none,own,2,skilled employee/ official,divorced/separated/married,none,yes,co-applicant,bad,bad,65.49592909265533,YES
no checking account,18,existing credits paid back duly till now,furniture/equipment,3422,< 100 DM,>= 7 years,4,male,2,4,car,47,bank,own,3,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,14.072050914847628,YES
< 0 DM,24,existing credits paid back duly till now,car (new),1442,< 100 DM,4 to < 7 years,4,female,1,4,real estate,23,none,rent,2,skilled employee/ official,divorced/separated/married,none,yes,none,bad,bad,75.90810341858861,YES
no checking account,12,existing credits paid back duly till now,car (new),1884,< 100 DM,>= 7 years,4,male,1,4,real estate,39,none,own,1,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,good,good,14.072274375279806,YES
>= 200 DM,30,delay in paying off in the past,business,1908,< 100 DM,>= 7 years,4,male,1,4,none,66,none,own,1,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,bad,good,21.957780411456405,NO
no checking account,12,existing credits paid back duly till now,car (new),640,< 100 DM,1 to < 4 years,4,male,1,2,none,49,none,own,1,unskilled - resident,divorced/separated,none,yes,none,good,good,14.074575256210547,YES
no checking account,18,delay in paying off in the past,business,2169,< 100 DM,1 to < 4 years,4,male,1,2,real estate,28,none,own,1,skilled employee/ official,married/widowed,"yes, registered under the customers name",yes,none,bad,bad,62.74883855071744,YES
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1240,unknown/ no savings account,>= 7 years,4,female,1,2,none,38,none,own,2,skilled employee/ official,divorced/separated/married,"yes, registered under the customers name",yes,none,good,good,6.14821299728217,YES
0 to < 200 DM,6,existing credits paid back duly till now,radio/television,484,< 100 DM,4 to < 7 years,3,male,1,3,none,28,bank,own,1,unskilled - resident,married/widowed,none,yes,guarantor,good,good,22.522686836175808,YES
